M3,Heading,C1,M1,SmoothW2,GPSFixQuality,Roll,RollGyr,A3,D3,W3,B2,GPSAltitudeMSL,E0,staticMode,A2,D1,BaroVerticalSpeed,WValid,EGyr2,GPSTrueCourse,GPSHorizontalAccuracy,EGyr1,Ta,W2,E1,headingValid,TWa,PitchGyr,TW,HeadingGPS,B1,slipSkid,headingMag,GPSVerticalAccuracy,E3,needsInitialization,GroundSpeed,EGPS0,C2,Pitch,B3,EGPS3,gLoad,D2,W1a,EGPS1,RollGPS,T,EGPS2,Z1,EGyr3,A1,BaroPressureAltitude,PitchGPS,H1,SmoothGroundSpeed,GPSNACp,Z3,W1,SmoothW1,W3a,W2a,HeadingGyr,turnRate,H3,EGyr0,C3,E2,H2,Z2,M2
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,407.152252,0.707107,0.000000,0.000000,1.904813,-4.326939,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,256.075317,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,407.152252,0.707107,0.000000,0.000000,1.904813,-4.326939,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,256.075317,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,407.152252,0.707107,0.000000,0.000000,1.904813,-4.798260,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,256.028046,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,407.152252,0.707107,0.000000,0.000000,1.904813,-4.798260,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,256.028046,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,407.152252,0.707107,0.000000,0.000000,1.904813,-4.704176,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,256.028046,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,407.152252,0.707107,0.000000,0.000000,1.904813,-4.704176,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,256.028046,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,407.152252,0.707107,0.000000,0.000000,1.904813,-5.155459,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,255.981857,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,407.152252,0.707107,0.000000,0.000000,1.904813,-5.155459,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,255.981857,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,407.152252,0.707107,0.000000,0.000000,1.904813,-5.054372,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,255.981857,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,407.152252,0.707107,0.000000,0.000000,1.904813,-5.054372,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,255.981857,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,407.152252,0.707107,0.000000,0.000000,1.904813,-4.955266,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,255.981857,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,407.152252,0.707107,0.000000,0.000000,1.904813,-4.955266,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,255.981857,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,407.152252,0.707107,0.000000,0.000000,1.904813,-4.074422,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,256.048462,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,406.824158,0.707107,0.000000,0.000000,1.904813,-4.074422,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,256.048462,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,406.824158,0.707107,0.000000,0.000000,1.904813,-3.994531,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,256.048462,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,406.824158,0.707107,0.000000,0.000000,1.904813,-3.994531,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,256.048462,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,406.824158,0.707107,0.000000,0.000000,1.904813,-4.459729,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,256.002258,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.004004,0.000000,0.000780,1.000000,0.000000,0.000000,0.000000,0.150456,-0.042727,0.000000,406.824158,0.707107,0.000000,0.000000,1.904813,-4.459729,1.000000,0.000000,0.000000,5.300000,0.000000,-6795364573.111345,0.039000,0.000000,0.000000,-6795364573.111345,0.000000,-6795364573.111345,0.000000,0.000000,-3.141593,3.141593,7.300000,0.707107,0.000000,0.039000,0.707107,0.004790,0.000000,0.000000,0.707107,-0.000000,0.584124,0.000000,0.000000,0.000000,-6795364573.111345,0.000000,0.000000,0.707107,0.000000,256.002258,0.000000,0.000000,0.000780,10.000000,0.000000,0.000000,0.000000,-0.042727,0.039000,0.000000,0.002708,0.000000,0.707107,-1.021630,0.000000,0.000000,0.000000,0.000000
