headingMag,PitchGPS,B1,Z3,M3,GPSTrueCourse,BaroPressureAltitude,W3,W1,needsInitialization,PitchGyr,H1,GPSNACp,C2,gLoad,EGPS2,EGPS3,Roll,E3,Pitch,staticMode,WValid,HeadingGPS,W1a,EGyr1,Z1,GPSHorizontalAccuracy,D1,TWa,W2,SmoothGroundSpeed,A2,T,H2,GPSVerticalAccuracy,A3,B2,SmoothW2,EGyr0,E0,A1,GPSFixQuality,headingValid,Ta,E1,slipSkid,C3,M2,Heading,SmoothW1,H3,GPSAltitudeMSL,C1,M1,W2a,EGyr3,HeadingGyr,EGPS0,B3,Z2,TW,E2,EGyr2,turnRate,RollGyr,RollGPS,W3a,GroundSpeed,D3,EGPS1,D2,BaroVerticalSpeed
3.141593,8.884329,-0.812555,-0.896518,0.000000,0.000000,441.527069,-0.020690,0.000000,0.000000,-0.710440,5.624436,10.000000,-0.306966,0.895455,0.055807,0.704901,5.656601,0.692340,-0.517039,1.000000,1.000000,359.999992,0.000000,0.029641,-0.147455,7.400000,5.721267,-6795364572.701345,0.251000,0.023519,0.045839,-6795364572.561345,4.613878,16.000000,-1.120823,0.625629,0.023519,0.720384,0.719868,0.007874,1.000000,0.000000,-6795364572.611345,0.032432,-0.313020,-1.117113,0.000000,2.207886,0.000000,-5.833444,391.404236,0.199615,0.000000,0.107000,0.691949,2.273275,0.687825,0.350963,-0.290164,-6795364572.601345,0.037459,0.037077,-0.060202,5.395170,17.937727,-0.020690,0.251000,-3.046129,0.164003,-5.085964,-2.095228
3.141593,8.874900,-0.803654,-0.896340,0.000000,0.000000,441.527069,-0.020284,0.000000,0.000000,-0.776267,5.616625,10.000000,-0.306966,0.895536,0.055770,0.704904,6.184642,0.690887,-0.582402,1.000000,1.000000,359.999997,0.000000,0.032705,-0.147025,7.400000,5.721267,-6795364572.601345,0.251000,0.023519,0.045412,-6795364572.511345,4.618019,16.000000,-1.119704,0.643432,0.023519,0.721473,0.720930,0.008789,1.000000,0.000000,-6795364572.561345,0.035425,-0.312973,-1.117113,0.000000,2.406667,0.000000,-5.844327,391.404236,0.199615,0.000000,0.251000,0.690472,2.475308,0.687860,0.368765,-0.289780,-6795364572.601345,0.040998,0.040689,-0.060202,5.934414,17.922268,-0.020690,0.251000,-3.046129,0.163854,-5.085964,-2.054145
3.141593,8.854323,-0.854518,-0.897533,0.000000,0.000000,441.527069,-0.020284,0.000000,0.000000,-0.844415,5.647194,10.000000,-0.306966,0.895787,0.055986,0.704887,6.703555,0.689444,-0.650190,1.000000,1.000000,0.000000,0.000000,0.035702,-0.146816,7.400000,5.721267,-6795364572.601345,0.343000,0.029909,0.046449,-6795364572.461345,4.622204,16.000000,-1.122105,0.652333,0.029909,0.722522,0.721953,0.009278,1.000000,0.000000,-6795364572.511345,0.038355,-0.313012,-1.117113,0.000000,2.600910,0.000000,-5.866261,390.419952,0.199615,0.000000,0.251000,0.689006,2.672757,0.687869,0.385296,-0.290640,-6795364572.501345,0.044487,0.044245,-0.054181,6.463689,17.936789,-0.020284,0.343000,-3.046129,0.163817,-5.085964,-2.054145
3.141593,8.864380,-0.831629,-0.896498,0.000000,0.000000,441.527069,-0.019886,0.000000,0.000000,-0.914572,5.645082,10.000000,-0.306966,0.895814,0.055911,0.704893,7.211656,0.688027,-0.719248,1.000000,1.000000,0.000000,0.000000,0.038629,-0.147030,7.400000,5.721267,-6795364572.501345,0.343000,0.029909,0.045818,-6795364572.411345,4.624290,16.000000,-1.119622,0.643432,0.029909,0.723521,0.722927,0.008423,1.000000,0.000000,-6795364572.461345,0.041219,-0.313004,-1.117113,0.000000,2.788536,0.000000,-5.843964,390.419952,0.199615,0.000000,0.343000,0.687565,2.863502,0.687858,0.348420,-0.290144,-6795364572.501345,0.047911,0.047740,-0.054181,6.982224,17.934632,-0.020284,0.343000,-3.046129,0.163865,-5.085964,-2.013868
3.141593,8.870753,-0.808741,-0.895340,0.000000,0.000000,441.527069,-0.019886,0.000000,0.000000,-0.985772,5.627573,10.000000,-0.306966,0.895717,0.056009,0.704885,7.708918,0.686631,-0.789336,1.000000,1.000000,360.000000,0.000000,0.041484,-0.146948,7.400000,5.721267,-6795364572.501345,0.623000,0.041770,0.046754,-6795364572.361345,4.621313,16.000000,-1.118381,0.640889,0.041770,0.724477,0.723859,0.008423,1.000000,0.000000,-6795364572.411345,0.044016,-0.313086,-1.117113,0.000000,2.970622,0.000000,-5.840856,389.435699,0.199615,0.000000,0.343000,0.686145,3.048640,0.687817,0.358592,-0.290336,-6795364572.391345,0.051268,0.051163,-0.048763,7.489160,17.956997,-0.019886,0.623000,-3.046129,0.164037,-5.085964,-2.013868
3.141593,8.890166,-0.818913,-0.895414,0.000000,0.000000,441.576752,-0.013724,0.000000,0.000000,-1.057681,5.628784,10.000000,-0.306966,0.895690,0.055848,0.704898,8.195910,0.685253,-0.859797,1.000000,1.000000,0.000000,0.000000,0.044281,-0.147365,7.400000,5.721267,-6795364572.391345,0.623000,0.041770,0.045941,-6795364572.311345,4.612138,16.000000,-1.119012,0.630716,0.041770,0.725393,0.724752,0.007813,1.000000,0.000000,-6795364572.361345,0.046754,-0.313087,-1.117113,0.000000,3.147698,0.000000,-5.844349,389.435699,0.199615,0.000000,0.623000,0.684742,3.228649,0.687799,0.366222,-0.290026,-6795364572.391345,0.054558,0.054523,-0.048763,7.986199,17.950168,-0.019886,0.623000,-3.046129,0.164113,-5.085964,-1.389764
3.141593,8.875214,-0.839259,-0.896925,0.000000,0.000000,441.576752,-0.013724,0.000000,0.000000,-1.130835,5.646240,10.000000,-0.306966,0.895878,0.055769,0.704904,8.673183,0.683898,-0.932133,1.000000,1.000000,359.999999,0.000000,0.047018,-0.147082,7.400000,5.721267,-6795364572.391345,0.227000,0.045475,0.045228,-6795364572.261345,4.624488,16.000000,-1.121250,0.644704,0.045475,0.726264,0.725604,0.008911,1.000000,0.000000,-6795364572.311345,0.049426,-0.313010,-1.117113,0.000000,3.318958,0.000000,-5.830071,389.107605,0.199615,0.000000,0.623000,0.683363,3.402642,0.687860,0.335704,-0.289878,-6795364572.301345,0.057795,0.057827,-0.043887,8.473794,17.922295,-0.013724,0.227000,-3.046129,0.163856,-5.085964,-1.389764
3.141593,8.900274,-0.829086,-0.895930,0.000000,0.000000,441.479553,-0.024749,0.000000,0.000000,-1.205084,5.643865,10.000000,-0.306966,0.895841,0.055708,0.704909,9.140908,0.682563,-1.004659,1.000000,1.000000,359.999998,0.000000,0.049686,-0.147658,7.400000,5.721267,-6795364572.301345,0.227000,0.045475,0.046307,-6795364572.211345,4.620769,16.000000,-1.119256,0.635802,0.045475,0.727098,0.726417,0.007406,1.000000,0.000000,-6795364572.261345,0.052042,-0.313053,-1.117113,0.000000,3.485112,0.000000,-5.828027,389.107605,0.199615,0.000000,0.227000,0.682004,3.571569,0.687802,0.343333,-0.290138,-6795364572.301345,0.060969,0.061067,-0.043887,8.950666,17.937497,-0.013724,0.227000,-3.046129,0.164097,-5.085964,-2.506327
3.141593,8.877694,-0.793481,-0.896036,0.000000,0.000000,441.479553,-0.024749,0.000000,0.000000,-1.279728,5.617993,10.000000,-0.306966,0.895865,0.055887,0.704895,9.597902,0.681249,-1.078507,1.000000,1.000000,360.000000,0.000000,0.052291,-0.146953,7.400000,5.721267,-6795364572.301345,0.265000,0.049865,0.046205,-6795364572.161345,4.622379,16.000000,-1.119663,0.640889,0.049865,0.727896,0.727196,0.008972,1.000000,0.000000,-6795364572.211345,0.054588,-0.313073,-1.117113,0.000000,3.646360,0.000000,-5.826649,388.779541,0.199615,0.000000,0.227000,0.680667,3.735416,0.687825,0.347148,-0.290221,-6795364572.201345,0.064081,0.064239,-0.039498,9.416819,17.944062,-0.024749,0.265000,-3.046129,0.164001,-5.085964,-2.506327
3.141593,8.857642,-0.818913,-0.896143,0.000000,0.000000,441.479553,-0.024264,0.000000,0.000000,-1.355954,5.627309,10.000000,-0.306966,0.895897,0.055858,0.704897,10.045461,0.679952,-1.153803,1.000000,1.000000,359.999998,0.000000,0.054834,-0.146620,7.400000,5.721267,-6795364572.201345,0.265000,0.049865,0.045127,-6795364572.111345,4.629493,16.000000,-1.119460,0.651062,0.049865,0.728660,0.727943,0.009196,1.000000,0.000000,-6795364572.161345,0.057072,-0.312993,-1.117113,0.000000,3.803140,0.000000,-5.831964,388.779541,0.199615,0.000000,0.265000,0.679346,3.894665,0.687889,0.348420,-0.289595,-6795364572.201345,0.067140,0.067361,-0.039498,9.873988,17.919261,-0.024749,0.265000,-3.046129,0.163732,-5.085964,-2.457184
