2023-07-30 10:02:29 status half-installed libi2c0:arm64 4.2-1+b1
2023-07-30 10:02:30 status unpacked libi2c0:arm64 4.2-1+b1
2023-07-30 10:02:31 install i2c-tools:arm64 <none> 4.2-1+b1
2023-07-30 10:02:31 status half-installed i2c-tools:arm64 4.2-1+b1
2023-07-30 10:02:31 status unpacked i2c-tools:arm64 4.2-1+b1
2023-07-30 10:02:31 install ifplugd:arm64 <none> 0.28-19.5
2023-07-30 10:02:31 status half-installed ifplugd:arm64 0.28-19.5
2023-07-30 10:02:31 status unpacked ifplugd:arm64 0.28-19.5
2023-07-30 10:02:31 install libip6tc2:arm64 <none> 1.8.7-1
2023-07-30 10:02:31 status half-installed libip6tc2:arm64 1.8.7-1
2023-07-30 10:02:31 status unpacked libip6tc2:arm64 1.8.7-1
2023-07-30 10:02:32 install iptables:arm64 <none> 1.8.7-1
2023-07-30 10:02:32 status half-installed iptables:arm64 1.8.7-1
2023-07-30 10:02:32 status unpacked iptables:arm64 1.8.7-1
2023-07-30 10:02:32 install libonig5:arm64 <none> 6.9.6-1.1
2023-07-30 10:02:32 status half-installed libonig5:arm64 6.9.6-1.1
2023-07-30 10:02:32 status unpacked libonig5:arm64 6.9.6-1.1
2023-07-30 10:02:32 install libjq1:arm64 <none> 1.6-2.1
2023-07-30 10:02:32 status half-installed libjq1:arm64 1.6-2.1
2023-07-30 10:02:33 status unpacked libjq1:arm64 1.6-2.1
2023-07-30 10:02:33 install jq:arm64 <none> 1.6-2.1
2023-07-30 10:02:33 status half-installed jq:arm64 1.6-2.1
2023-07-30 10:02:33 status unpacked jq:arm64 1.6-2.1
2023-07-30 10:02:33 install libconfig9:arm64 <none> 1.5-0.4
2023-07-30 10:02:33 status half-installed libconfig9:arm64 1.5-0.4
2023-07-30 10:02:33 status unpacked libconfig9:arm64 1.5-0.4
2023-07-30 10:02:33 install libfftw3-double3:arm64 <none> 3.3.8-2
2023-07-30 10:02:33 status half-installed libfftw3-double3:arm64 3.3.8-2
2023-07-30 10:02:33 status unpacked libfftw3-double3:arm64 3.3.8-2
2023-07-30 10:02:34 install libfftw3-long3:arm64 <none> 3.3.8-2
2023-07-30 10:02:34 status half-installed libfftw3-long3:arm64 3.3.8-2
2023-07-30 10:02:34 status unpacked libfftw3-long3:arm64 3.3.8-2
2023-07-30 10:02:34 install libfftw3-bin:arm64 <none> 3.3.8-2
2023-07-30 10:02:34 status half-installed libfftw3-bin:arm64 3.3.8-2
2023-07-30 10:02:34 status unpacked libfftw3-bin:arm64 3.3.8-2
2023-07-30 10:02:34 install libfftw3-dev:arm64 <none> 3.3.8-2
2023-07-30 10:02:34 status half-installed libfftw3-dev:arm64 3.3.8-2
2023-07-30 10:02:35 status unpacked libfftw3-dev:arm64 3.3.8-2
2023-07-30 10:02:35 install libjpeg62-turbo-dev:arm64 <none> 1:2.0.6-4
2023-07-30 10:02:35 status half-installed libjpeg62-turbo-dev:arm64 1:2.0.6-4
2023-07-30 10:02:35 status unpacked libjpeg62-turbo-dev:arm64 1:2.0.6-4
2023-07-30 10:02:35 install libltdl7:arm64 <none> 2.4.6-15
2023-07-30 10:02:35 status half-installed libltdl7:arm64 2.4.6-15
2023-07-30 10:02:35 status unpacked libltdl7:arm64 2.4.6-15
2023-07-30 10:02:36 install libltdl-dev:arm64 <none> 2.4.6-15
2023-07-30 10:02:36 status half-installed libltdl-dev:arm64 2.4.6-15
2023-07-30 10:02:36 status unpacked libltdl-dev:arm64 2.4.6-15
2023-07-30 10:02:36 install libncurses-dev:arm64 <none> 6.2+20201114-2+deb11u1
2023-07-30 10:02:36 status half-installed libncurses-dev:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:36 status unpacked libncurses-dev:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:36 install libtool:all <none> 2.4.6-15
2023-07-30 10:02:36 status half-installed libtool:all 2.4.6-15
2023-07-30 10:02:36 status unpacked libtool:all 2.4.6-15
2023-07-30 10:02:37 install libusb-1.0-0-dev:arm64 <none> 2:1.0.24-3
2023-07-30 10:02:37 status half-installed libusb-1.0-0-dev:arm64 2:1.0.24-3
2023-07-30 10:02:37 status unpacked libusb-1.0-0-dev:arm64 2:1.0.24-3
2023-07-30 10:02:37 install libusb-1.0-doc:all <none> 2:1.0.24-3
2023-07-30 10:02:37 status half-installed libusb-1.0-doc:all 2:1.0.24-3
2023-07-30 10:02:37 status unpacked libusb-1.0-doc:all 2:1.0.24-3
2023-07-30 10:02:37 install python3-serial:all <none> 3.5~b0-1
2023-07-30 10:02:37 status half-installed python3-serial:all 3.5~b0-1
2023-07-30 10:02:37 status unpacked python3-serial:all 3.5~b0-1
2023-07-30 10:02:38 install read-edid:arm64 <none> 3.0.2-1.1
2023-07-30 10:02:38 status half-installed read-edid:arm64 3.0.2-1.1
2023-07-30 10:02:38 status unpacked read-edid:arm64 3.0.2-1.1
2023-07-30 10:02:38 startup packages configure
2023-07-30 10:02:38 configure libconfig9:arm64 1.5-0.4 <none>
2023-07-30 10:02:38 status unpacked libconfig9:arm64 1.5-0.4
2023-07-30 10:02:38 status half-configured libconfig9:arm64 1.5-0.4
2023-07-30 10:02:38 status installed libconfig9:arm64 1.5-0.4
2023-07-30 10:02:38 configure libarchive13:arm64 3.4.3-2+deb11u1 <none>
2023-07-30 10:02:38 status unpacked libarchive13:arm64 3.4.3-2+deb11u1
